"method","path","callsite_count","source_files","representative_line","laravel_status","laravel_methods","laravel_handlers","aspnet_status","aspnet_methods","aspnet_controllers"
"POST","/api/auth/admin-session","1","lib/nav-helpers.ts","21","exists","POST","[\App\Http\Controllers\Api\AuthController::class, 'adminSession']","exists","POST","AuthParity"
"GET","/api/partner/v1/aggregates/community","1","pages/developers/DevelopersEndpointsPage.tsx","37","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'communityAggregates']","exists","GET","V15MemberParity"
"GET","/api/partner/v1/listings","1","pages/developers/DevelopersEndpointsPage.tsx","34","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'listListings']","exists","GET","V15MemberParity"
"POST","/api/partner/v1/oauth/revoke","1","pages/developers/DevelopersEndpointsPage.tsx","31","exists","POST","[\App\Http\Controllers\Api\PartnerApi\PartnerOAuthController::class, 'revoke']","exists","POST","V15MemberParity"
"POST","/api/partner/v1/oauth/token","1","pages/developers/DevelopersEndpointsPage.tsx","30","exists","POST","[\App\Http\Controllers\Api\PartnerApi\PartnerOAuthController::class, 'token']","exists","POST","V15MemberParity"
"GET","/api/partner/v1/users","1","pages/developers/DevelopersEndpointsPage.tsx","32","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'listUsers']","exists","GET","V15MemberParity"
"GET","/api/partner/v1/users/{id}","1","pages/developers/DevelopersEndpointsPage.tsx","33","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'showUser']","exists","GET","V15MemberParity"
"GET","/api/partner/v1/wallet/balance/{userid}","1","pages/developers/DevelopersEndpointsPage.tsx","35","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'walletBalance']","exists","GET","V15MemberParity"
"POST","/api/partner/v1/wallet/credit","1","pages/developers/DevelopersEndpointsPage.tsx","36","exists","POST","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'walletCredit']","exists","POST","V15MemberParity"
"GET","/api/partner/v1/webhooks/subscriptions","1","pages/developers/DevelopersEndpointsPage.tsx","38","exists","GET","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'listWebhookSubscriptions']","exists","GET","V15MemberParity"
"POST","/api/partner/v1/webhooks/subscriptions","1","pages/developers/DevelopersEndpointsPage.tsx","39","exists","POST","[\App\Http\Controllers\Api\PartnerApi\PartnerV1Controller::class, 'createWebhookSubscription']","exists","POST","V15MemberParity"
"GET","/api/partner-analytics/me/dashboard","1","pages/partner-analytics/PartnerDashboardPage.tsx","122","missing","","","exists","GET","LaravelReactFrontendContract"
"GET","/api/partner-analytics/me/reports","1","pages/partner-analytics/PartnerDashboardPage.tsx","122","missing","","","exists","GET","LaravelReactFrontendContract"
"GET","/api/partner-analytics/me/reports/{id}/download","1","pages/partner-analytics/PartnerDashboardPage.tsx","122","missing","","","exists","GET","LaravelReactFrontendContract"
"UNRESOLVED","/api/sw-reset","2","lib/api.ts","104","missing","","","exists-unambiguous-method","GET","LaravelReactFrontendContract"
"UNRESOLVED","/api/v1/federation","3","admin/modules/federation/ExternalPartners.tsx","135","exists-unambiguous-method","GET","[\App\Http\Controllers\Api\FederationController::class, 'index']","exists-unambiguous-method","GET","FederationExternalApi"
"GET","/api/v2/admin/ad-campaigns","1","admin/modules/advertising/AdCampaignAdminPage.tsx","218","exists","GET","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminListCampaigns']","exists","GET","AdminExplicitParity"
"GET","/api/v2/admin/ad-campaigns/{id}","1","admin/modules/advertising/AdCampaignAdminPage.tsx","302","exists","GET","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminGetCampaign']","exists","GET","AdminExplicitParity"
"POST","/api/v2/admin/ad-campaigns/{id}/approve","1","admin/modules/advertising/AdCampaignAdminPage.tsx","244","exists","POST","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminApproveCampaign']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/ad-campaigns/{id}/pause","1","admin/modules/advertising/AdCampaignAdminPage.tsx","283","exists","POST","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminPauseCampaign']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/ad-campaigns/{id}/reject","1","admin/modules/advertising/AdCampaignAdminPage.tsx","263","exists","POST","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminRejectCampaign']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/ad-campaigns/stats","1","admin/modules/advertising/AdCampaignAdminPage.tsx","197","exists","GET","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'adminOverviewStats']","exists","GET","AdminExplicitParity"
"GET","/api/v2/admin/agents","1","admin/modules/agents/AgentsAdminPage.tsx","53","exists","GET","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'index']","exists","GET","AdminExplicitParity"
"PATCH","/api/v2/admin/agents/{id}","1","admin/modules/agents/AgentsAdminPage.tsx","125","exists","PATCH","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'update']","exists","PATCH","AdminExplicitParity"
"POST","/api/v2/admin/agents/{id}/run-now","1","admin/modules/agents/AgentsAdminPage.tsx","89","exists","POST","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'runNow']","exists","POST","AdminExplicitParity"
"POST","/api/v2/admin/agents/{id}/toggle","1","admin/modules/agents/AgentsAdminPage.tsx","69","exists","POST","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'toggle']","exists","POST","AdminExplicitParity"
"GET","/api/v2/admin/agents/proposals","1","admin/modules/agents/AgentProposalsPage.tsx","71","exists","GET","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'proposals']","exists","GET","AdminExplicitParity"
"POST","/api/v2/admin/agents/proposals/{id}/approve","1","admin/modules/agents/AgentProposalsPage.tsx","88","exists","POST","[\App\Http\Controllers\Api\Admin\AgentAdminController::class, 'approve']","exists","POST","AdminExplicitParity"
